Round County Immigrants;Round State Immigrants;County Immigrants;County name;County;Anzahl der Datensätze;Origin (B05006 2016 5 yr (State));Origin (quickfilter 2);Origin (tooltip);Origin (quickfilter);Origin;State (B05006 2016 5 yr (State));State Immigrants;State;Total state immigrant population;Total state population
5.300;524.000;5297;Mesa County, Colorado;Mesa County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;0;Mineral County, Colorado;Mineral County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;821;Moffat County, Colorado;Moffat County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;673;Montezuma County, Colorado;Montezuma County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
2.900;524.000;2872;Montrose County, Colorado;Montrose County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
3.500;524.000;3455;Morgan County, Colorado;Morgan County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1143;Otero County, Colorado;Otero County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;138;Ouray County, Colorado;Ouray County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;690;Park County, Colorado;Park County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;411;Phillips County, Colorado;Phillips County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
2.300;524.000;2284;Pitkin County, Colorado;Pitkin County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1043;Prowers County, Colorado;Prowers County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
6.100;524.000;6135;Pueblo County, Colorado;Pueblo County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;231;Rio Blanco County, Colorado;Rio Blanco County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;777;Rio Grande County, Colorado;Rio Grande County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1565;Routt County, Colorado;Routt County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;794;Saguache County, Colorado;Saguache County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;3;San Juan County, Colorado;San Juan County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;617;San Miguel County, Colorado;San Miguel County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;114;Sedgwick County, Colorado;Sedgwick County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
3.400;524.000;3444;Summit County, Colorado;Summit County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;686;Teller County, Colorado;Teller County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;115;Washington County, Colorado;Washington County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
24.100;524.000;24062;Weld County, Colorado;Weld County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1061;Yuma County, Colorado;Yuma County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;1.792.000;995;Adams County, Illinois;Adams County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;52;Alexander County, Illinois;Alexander County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;422;Bond County, Illinois;Bond County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
6.200;1.792.000;6219;Boone County, Illinois;Boone County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;130;Brown County, Illinois;Brown County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1275;Bureau County, Illinois;Bureau County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;45;Calhoun County, Illinois;Calhoun County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;442;Carroll County, Illinois;Carroll County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1392;Cass County, Illinois;Cass County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
23.800;1.792.000;23787;Champaign County, Illinois;Champaign County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;324;Christian County, Illinois;Christian County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;182;Clark County, Illinois;Clark County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;158;Clay County, Illinois;Clay County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;652;Clinton County, Illinois;Clinton County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1232;Coles County, Illinois;Coles County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
1.101.700;1.792.000;1101730;Cook County, Illinois;Cook County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;306;Crawford County, Illinois;Crawford County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;85;Cumberland County, Illinois;Cumberland County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;223;De Witt County, Illinois;De Witt County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
6.900;1.792.000;6884;DeKalb County, Illinois;DeKalb County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;748;Douglas County, Illinois;Douglas County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
175.100;1.792.000;175061;DuPage County, Illinois;DuPage County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;154;Edgar County, Illinois;Edgar County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;61;Edwards County, Illinois;Edwards County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;521;Effingham County, Illinois;Effingham County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;186;Fayette County, Illinois;Fayette County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;159;Ford County, Illinois;Ford County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;369;Franklin County, Illinois;Franklin County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;765;Fulton County, Illinois;Fulton County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;30;Gallatin County, Illinois;Gallatin County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;75;Greene County, Illinois;Greene County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1951;Grundy County, Illinois;Grundy County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;20;Hamilton County, Illinois;Hamilton County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;197;Hancock County, Illinois;Hancock County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;30;Hardin County, Illinois;Hardin County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;80;Henderson County, Illinois;Henderson County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1356;Henry County, Illinois;Henry County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;912;Iroquois County, Illinois;Iroquois County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
3.500;1.792.000;3533;Jackson County, Illinois;Jackson County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;89;Jasper County, Illinois;Jasper County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;660;Jefferson County, Illinois;Jefferson County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;284;Jersey County, Illinois;Jersey County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;651;Jo Daviess County, Illinois;Jo Daviess County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;160;Johnson County, Illinois;Johnson County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
96.300;1.792.000;96268;Kane County, Illinois;Kane County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
5.800;1.792.000;5781;Kankakee County, Illinois;Kankakee County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
10.900;1.792.000;10887;Kendall County, Illinois;Kendall County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1469;Knox County, Illinois;Knox County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
129.400;1.792.000;129408;Lake County, Illinois;Lake County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
3.700;1.792.000;3708;LaSalle County, Illinois;LaSalle County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;441;Lawrence County, Illinois;Lawrence County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;943;Lee County, Illinois;Lee County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;669;Livingston County, Illinois;Livingston County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;511;Logan County, Illinois;Logan County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
2.500;1.792.000;2461;Macon County, Illinois;Macon County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;288;Macoupin County, Illinois;Macoupin County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
6.100;1.792.000;6102;Madison County, Illinois;Madison County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;518;Marion County, Illinois;Marion County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;198;Marshall County, Illinois;Marshall County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;142;Mason County, Illinois;Mason County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;150;Massac County, Illinois;Massac County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1263;McDonough County, Illinois;McDonough County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
28.400;1.792.000;28414;McHenry County, Illinois;McHenry County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
11.600;1.792.000;11610;McLean County, Illinois;McLean County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;87;Menard County, Illinois;Menard County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;200;Mercer County, Illinois;Mercer County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;518;Monroe County, Illinois;Monroe County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;293;Montgomery County, Illinois;Montgomery County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;723;Morgan County, Illinois;Morgan County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;141;Moultrie County, Illinois;Moultrie County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
2.900;1.792.000;2879;Ogle County, Illinois;Ogle County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
10.100;1.792.000;10120;Peoria County, Illinois;Peoria County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;248;Perry County, Illinois;Perry County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;179;Piatt County, Illinois;Piatt County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;104;Pike County, Illinois;Pike County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;43;Pope County, Illinois;Pope County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;71;Pulaski County, Illinois;Pulaski County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;148;Putnam County, Illinois;Putnam County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;423;Randolph County, Illinois;Randolph County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;217;Richland County, Illinois;Richland County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
11.600;1.792.000;11625;Rock Island County, Illinois;Rock Island County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;315;Saline County, Illinois;Saline County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
6.100;1.792.000;6065;Sangamon County, Illinois;Sangamon County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;68;Schuyler County, Illinois;Schuyler County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;26;Scott County, Illinois;Scott County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;92;Shelby County, Illinois;Shelby County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
7.000;1.792.000;7028;St. Clair County, Illinois;St. Clair County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;34;Stark County, Illinois;Stark County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;937;Stephenson County, Illinois;Stephenson County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
2.500;1.792.000;2496;Tazewell County, Illinois;Tazewell County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;461;Union County, Illinois;Union County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1749;Vermilion County, Illinois;Vermilion County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;309;Wabash County, Illinois;Wabash County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1081;Warren County, Illinois;Warren County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;149;Washington County, Illinois;Washington County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;156;Wayne County, Illinois;Wayne County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;169;White County, Illinois;White County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1657;Whiteside County, Illinois;Whiteside County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
80.500;1.792.000;80514;Will County, Illinois;Will County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;1364;Williamson County, Illinois;Williamson County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
22.600;1.792.000;22634;Winnebago County, Illinois;Winnebago County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;1.792.000;427;Woodford County, Illinois;Woodford County;1;Total:;Total:;all countries;(Total);Total:;Illinois;1791568;Illinois;1791568;12851684
;427.000;155;Aitkin County, Minnesota;Aitkin County;1;Total:;Total:;all countries;(Total);Total:;Minnesota;426691;Minnesota;426691;5450868
24.900;427.000;24924;Anoka County, Minnesota;Anoka County;1;Total:;Total:;all countries;(Total);Total:;Minnesota;426691;Minnesota;426691;5450868
;427.000;579;Becker County, Minnesota;Becker County;1;Total:;Total:;all countries;(Total);Total:;Minnesota;426691;Minnesota;426691;5450868
;139.000;209;Arkansas County, Arkansas;Arkansas County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;545;Ashley County, Arkansas;Ashley County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;965;Baxter County, Arkansas;Baxter County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
27.600;139.000;27574;Benton County, Arkansas;Benton County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;298;Boone County, Arkansas;Boone County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;736;Bradley County, Arkansas;Bradley County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;31;Calhoun County, Arkansas;Calhoun County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
2.300;139.000;2289;Carroll County, Arkansas;Carroll County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;286;Chicot County, Arkansas;Chicot County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;657;Clark County, Arkansas;Clark County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;207;Clay County, Arkansas;Clay County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;355;Cleburne County, Arkansas;Cleburne County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;144;Cleveland County, Arkansas;Cleveland County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;639;Columbia County, Arkansas;Columbia County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;431;Conway County, Arkansas;Conway County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
3.900;139.000;3906;Craighead County, Arkansas;Craighead County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
2.600;139.000;2604;Crawford County, Arkansas;Crawford County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;763;Crittenden County, Arkansas;Crittenden County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;86;Cross County, Arkansas;Cross County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;187;Dallas County, Arkansas;Dallas County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;327;Desha County, Arkansas;Desha County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;207;Drew County, Arkansas;Drew County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
3.500;139.000;3456;Faulkner County, Arkansas;Faulkner County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;380;Franklin County, Arkansas;Franklin County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;102;Fulton County, Arkansas;Fulton County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
3.400;139.000;3417;Garland County, Arkansas;Garland County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;157;Grant County, Arkansas;Grant County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
;139.000;337;Greene County, Arkansas;Greene County;1;Total:;Total:;all countries;(Total);Total:;Arkansas;139034;Arkansas;139034;2968472
