Round County Immigrants;Round State Immigrants;County Immigrants;County name;County;Anzahl der Datensätze;Origin (B05006 2016 5 yr (State));Origin (quickfilter 2);Origin (tooltip);Origin (quickfilter);Origin;State (B05006 2016 5 yr (State));State Immigrants;State;Total state immigrant population;Total state population
73.300;524.000;73284;Adams County, Colorado;Adams County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1303;Alamosa County, Colorado;Alamosa County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
91.000;524.000;91044;Arapahoe County, Colorado;Arapahoe County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;764;Archuleta County, Colorado;Archuleta County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;117;Baca County, Colorado;Baca County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;321;Bent County, Colorado;Bent County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
33.700;524.000;33708;Boulder County, Colorado;Boulder County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
5.500;524.000;5506;Broomfield County, Colorado;Broomfield County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;545;Chaffee County, Colorado;Chaffee County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;145;Cheyenne County, Colorado;Cheyenne County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;274;Clear Creek County, Colorado;Clear Creek County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;287;Conejos County, Colorado;Conejos County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;297;Costilla County, Colorado;Costilla County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;314;Crowley County, Colorado;Crowley County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;102;Custer County, Colorado;Custer County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1300;Delta County, Colorado;Delta County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
105.200;524.000;105168;Denver County, Colorado;Denver County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;24;Dolores County, Colorado;Dolores County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
22.400;524.000;22401;Douglas County, Colorado;Douglas County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
9.600;524.000;9634;Eagle County, Colorado;Eagle County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
47.200;524.000;47203;El Paso County, Colorado;El Paso County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1068;Elbert County, Colorado;Elbert County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1321;Fremont County, Colorado;Fremont County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
8.600;524.000;8641;Garfield County, Colorado;Garfield County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;249;Gilpin County, Colorado;Gilpin County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;1136;Grand County, Colorado;Grand County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;503;Gunnison County, Colorado;Gunnison County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;10;Hinsdale County, Colorado;Hinsdale County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;146;Huerfano County, Colorado;Huerfano County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;69;Jackson County, Colorado;Jackson County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
37.400;524.000;37399;Jefferson County, Colorado;Jefferson County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;10;Kiowa County, Colorado;Kiowa County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;701;Kit Carson County, Colorado;Kit Carson County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
2.000;524.000;2017;La Plata County, Colorado;La Plata County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;756;Lake County, Colorado;Lake County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
16.500;524.000;16488;Larimer County, Colorado;Larimer County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;656;Las Animas County, Colorado;Las Animas County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;200;Lincoln County, Colorado;Lincoln County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
;524.000;902;Logan County, Colorado;Logan County;1;Total:;Total:;all countries;(Total);Total:;Colorado;524444;Colorado;524444;5359295
